type,road_type,traffic_level,traffic_road_coverage,road_closure,road_category,road_subcategory,left_hand_traffic,coordinates,date,time,station,streetID
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,19:11:42,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,19:41:13,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,19:41:13,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,19:57:40,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,19:57:40,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,20:11:14,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,20:11:14,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,20:40:59,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,20:40:59,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,20:57:33,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,20:57:33,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,21:11:09,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,21:11:09,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,21:41:52,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,21:41:52,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,21:57:25,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,21:57:25,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,22:10:58,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,22:10:58,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,22:41:29,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,22:41:29,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,22:56:57,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,22:56:57,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,23:11:28,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,23:11:28,UIZ,25403
LINESTRING,,1,full,,tertiary,major_local,,"[[19.360893502453113, -99.07470703125], [19.360844157006785, -99.0745635330677], [19.36083783066751, -99.07449781894684], [19.360836565399655, -99.07444551587105]]",27/02/2024,23:41:08,UIZ,25403
