CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.86,0.0,37.0,37.0,25.0,39.0,21.0,34.0,1.0,21.0,128.0,1.9
0.97,1.0,47.0,46.0,14.0,48.0,26.0,35.0,1.0,21.0,119.0,1.1
1.18,5.0,40.0,35.67358384744812,37.599162011173185,48.0,23.0,36.0,2.0,20.0,128.0,0.8
0.92,3.0,47.0,43.0,10.0,41.0,21.0,38.0,1.0,19.0,163.0,1.1
0.67,1.0,29.0,29.0,19.0,45.0,28.0,40.0,1.0,18.0,173.0,1.3
0.85,3.0,41.0,38.0,7.0,32.0,18.0,43.0,1.0,18.0,134.0,0.7
0.77,7.0,44.0,37.0,7.0,35.0,22.0,44.0,1.0,17.0,196.0,1.6
0.54,2.0,28.0,26.0,14.0,34.0,20.0,45.0,1.0,17.0,188.0,1.2
0.8,15.0,50.0,35.0,5.0,23.0,11.0,48.0,1.0,16.0,176.0,1.3
1.05,30.0,69.0,39.0,1.0,31.0,16.0,49.0,1.0,16.0,163.0,1.2
2.31,114.0,157.0,43.0,2.0,40.0,22.0,48.0,3.0,16.0,172.0,1.3
1.6,62.0,110.0,48.0,6.0,62.0,28.0,43.0,2.0,18.0,136.0,1.2
1.56,37.0,102.0,64.0,16.0,54.0,25.0,36.0,2.0,20.0,93.0,1.3
1.06,13.0,61.0,47.0,41.0,61.0,34.0,32.0,1.0,22.0,92.0,1.7
0.76,4.0,33.0,29.0,67.0,59.0,36.0,26.0,1.0,24.0,131.0,2.7
0.57,1.0,18.0,17.0,86.0,54.0,29.0,21.0,2.0,26.0,128.0,2.8
0.55,1.0,19.0,18.0,87.0,38.0,10.0,18.0,2.0,28.0,88.0,2.5
0.68,3.0,29.0,26.0,87.0,58.0,15.0,13.0,2.0,29.0,264.0,2.5
0.65,6.0,29.0,23.0,53.0,42.0,10.0,14.0,1.0,29.0,203.0,3.4
0.7,8.0,33.0,25.0,40.0,78.0,17.0,14.0,1.0,28.0,240.0,3.8
0.67,9.0,34.0,25.0,27.0,49.0,15.0,15.0,1.0,26.0,218.0,4.5
0.74,10.0,37.0,27.0,19.0,44.0,11.0,16.0,0.0,25.0,200.0,3.7
0.72,2.0,33.0,32.0,23.0,34.0,12.0,28.0,1.0,23.0,155.0,2.1
0.98,3.0,45.0,42.0,15.0,31.0,10.0,33.0,1.0,22.0,144.0,1.4
0.99,3.0,49.0,47.0,10.0,47.0,22.0,35.0,1.0,21.0,111.0,1.3
1.56,38.0,106.0,67.0,3.0,46.0,15.0,29.0,2.0,20.0,181.0,1.8
0.77,5.0,40.0,35.67358384744812,37.599162011173185,39.0,15.0,32.0,2.0,19.0,296.0,0.7
0.77,5.0,40.0,35.67358384744812,37.599162011173185,39.0,21.0,25.0,2.0,19.0,284.0,1.1
0.77,5.0,40.0,35.67358384744812,37.599162011173185,47.0,26.0,32.0,2.0,18.0,176.0,1.1
