CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.86,4.0,44.0,40.0,14.0,34.0,18.0,34.0,1.0,19.0,30.0,1.0
1.29,16.0,67.0,51.0,5.0,40.0,21.0,36.0,2.0,18.0,18.0,1.1
0.81,2.0,39.0,37.0,13.0,37.0,18.0,43.0,1.0,17.0,56.0,1.1
0.74,3.0,36.0,33.0,13.0,50.0,24.0,39.0,1.0,16.0,64.0,1.1
0.72,2.0,37.0,35.0,10.0,47.0,22.0,41.0,1.0,16.0,73.0,1.2
0.63,1.0,34.0,33.0,11.0,38.0,18.0,44.0,1.0,15.0,74.0,1.3
0.63,1.0,35.0,33.0,7.0,43.0,23.0,47.0,1.0,14.0,68.0,1.1
0.53,2.0,33.0,31.0,9.0,41.0,22.0,50.0,1.0,13.0,64.0,1.2
0.47,2.0,30.0,28.0,10.0,39.0,20.0,52.0,1.0,13.0,43.0,1.1
0.54,3.0,36.0,33.0,7.0,34.0,19.0,54.0,1.0,12.0,50.0,1.3
0.87,16.0,52.0,35.0,5.0,32.0,17.0,55.0,1.0,12.0,51.0,1.2
1.03,24.0,63.0,39.0,13.0,43.0,20.0,50.0,2.0,14.0,38.0,1.0
1.17,25.0,78.0,52.0,23.0,55.0,26.0,40.0,2.0,16.0,11.0,1.1
0.81,11.0,52.0,41.0,43.0,62.0,33.0,33.0,2.0,19.0,27.0,1.3
0.4,3.0,19.0,16.0,65.0,55.0,28.0,26.0,2.0,21.0,17.0,1.5
0.31,1.0,13.0,11.0,73.0,46.0,24.0,22.0,2.0,23.0,47.0,1.6
0.21,1.0,10.0,9.0,71.0,42.0,20.0,16.0,2.0,25.0,56.0,1.7
0.17,1.0,9.0,8.0,72.0,29.0,14.0,14.0,2.0,25.0,16.0,2.0
0.19,1.0,8.0,7.0,64.0,31.0,13.0,19.0,2.0,26.0,43.0,2.7
0.18,1.0,7.0,6.0,61.0,69.0,18.0,21.0,2.0,25.0,41.0,2.8
0.31,1.0,11.0,10.0,57.0,59.0,15.0,28.0,2.0,24.0,84.0,2.8
0.32,1.0,13.0,12.0,47.0,57.0,17.0,32.0,2.0,22.0,87.0,2.8
0.34,1.0,14.0,13.0,40.0,54.0,19.0,36.0,2.0,20.0,35.0,2.5
0.47,1.0,17.0,16.0,37.0,37.0,16.0,37.0,2.0,19.0,36.0,1.7
0.46,1.0,19.0,18.0,35.0,42.0,19.0,38.0,1.0,19.0,34.0,1.4
0.46,1.0,19.0,19.0,30.0,38.0,17.0,40.0,1.0,18.0,35.0,1.4
0.69,2.0,26.0,26.44950213371266,44.00657894736842,44.0,16.0,41.0,3.0,17.0,28.0,1.0
0.57,1.0,27.0,26.0,19.0,39.0,17.0,45.0,1.0,17.0,129.0,1.3
0.34,1.0,17.0,16.0,23.0,42.0,14.0,47.0,1.0,16.0,185.0,0.9
0.33,1.0,19.0,18.0,20.0,33.0,20.0,49.0,1.0,15.0,148.0,0.9
0.25,1.0,16.0,15.0,21.0,35.0,23.0,52.0,1.0,14.0,115.0,1.3
0.32,1.0,22.0,21.0,15.0,27.0,16.0,55.0,1.0,14.0,101.0,1.3
0.47,7.0,39.0,33.0,7.0,26.0,13.0,57.0,1.0,14.0,37.0,1.0
1.44,69.0,111.0,41.0,2.0,30.0,15.0,58.0,3.0,13.0,71.0,0.8
1.42,53.0,93.0,40.0,3.0,51.0,23.0,59.0,2.0,13.0,54.0,1.3
1.25,43.0,82.0,39.0,8.0,55.0,26.0,51.0,2.0,14.0,45.0,1.3
0.72,14.0,45.0,30.0,25.0,51.0,18.0,42.0,2.0,17.0,19.0,1.3
0.51,5.0,28.0,22.0,44.0,53.0,21.0,34.0,2.0,20.0,27.0,1.3
0.36,3.0,16.0,14.0,58.0,49.0,19.0,28.0,2.0,22.0,22.0,1.6
0.23,1.0,10.0,9.0,61.0,64.0,23.0,22.0,3.0,25.0,40.0,1.6
0.2,2.0,12.0,10.0,65.0,61.0,17.0,18.0,3.0,26.0,30.0,2.0
0.28,2.0,16.0,14.0,73.0,70.0,15.0,15.0,2.0,27.0,34.0,2.1
0.27,2.0,15.0,13.0,68.0,48.0,14.0,14.0,2.0,27.0,42.0,2.3
0.29,1.0,14.0,12.0,61.0,40.0,21.0,22.0,2.0,26.0,30.0,2.8
0.3,1.0,14.0,13.0,49.0,57.0,16.0,26.0,2.0,24.0,45.0,3.0
0.35,1.0,15.0,14.0,41.0,69.0,17.0,31.0,1.0,22.0,49.0,2.7
0.41,1.0,16.0,15.0,37.0,52.0,16.0,35.0,1.0,21.0,29.0,2.2
0.5,1.0,22.0,21.0,29.0,32.0,13.0,35.0,1.0,20.0,44.0,1.7
0.89,1.0,38.0,37.0,16.0,39.0,16.0,38.0,2.0,19.0,59.0,1.3
0.54,1.0,26.0,25.0,21.0,50.0,20.0,38.0,1.0,18.0,66.0,1.6
1.0,4.0,55.0,51.0,11.0,52.0,21.0,35.0,2.0,18.0,59.0,1.3
0.6,2.0,26.0,26.44950213371266,44.00657894736842,36.0,15.0,45.0,3.0,17.0,182.0,1.1
0.6,2.0,26.0,26.44950213371266,44.00657894736842,45.0,18.0,45.0,3.0,16.0,139.0,1.2
0.6,2.0,26.0,26.44950213371266,44.00657894736842,43.0,22.0,47.0,3.0,14.0,86.0,1.4
0.34,2.0,31.0,29.0,9.0,32.0,16.0,42.0,1.0,14.0,89.0,1.1
0.39,2.0,31.0,29.0,6.0,24.0,11.0,50.0,1.0,13.0,164.0,1.3
0.58,14.0,46.0,32.0,3.0,34.0,18.0,53.0,2.0,12.0,170.0,1.4
0.88,29.0,63.0,34.0,2.0,43.0,25.0,51.0,2.0,12.0,198.0,1.3
1.34,49.0,86.0,37.0,3.0,48.0,24.0,50.0,3.0,12.0,124.0,1.1
1.95,76.0,123.0,47.0,6.0,56.0,21.0,44.0,3.0,15.0,53.0,1.4
1.46,43.0,98.0,54.0,16.0,80.0,28.0,35.0,3.0,17.0,6.0,1.7
1.12,20.0,73.0,53.0,35.0,79.0,31.0,32.0,4.0,19.0,7.5,1.9
0.72,7.0,45.0,38.0,58.0,93.0,43.0,25.0,4.0,21.0,9.0,1.7
0.58,4.0,33.0,29.0,73.0,89.0,44.0,16.0,3.0,23.0,13.0,1.6
0.58,3.0,33.0,30.0,84.0,65.0,34.0,12.0,3.0,24.0,29.0,1.6
0.54,3.0,31.0,28.0,93.0,60.0,36.0,10.0,3.0,26.0,16.0,1.7
0.47,2.0,27.0,25.0,101.0,61.0,36.0,9.0,3.0,26.0,11.0,1.7
0.42,1.0,21.0,20.0,102.0,58.0,34.0,11.0,3.0,27.0,8.0,1.7
0.3,1.0,13.0,12.0,76.0,67.0,29.0,17.0,2.0,26.0,6.0,2.5
0.39,1.0,18.0,17.0,48.0,69.0,20.0,24.0,2.0,24.0,30.0,2.2
0.52,1.0,21.0,21.0,41.0,56.0,15.0,27.0,2.0,22.0,71.0,2.0
0.67,1.0,30.0,29.0,34.0,50.0,18.0,27.0,2.0,21.0,10.0,1.6
1.09,6.0,60.0,54.0,13.0,46.0,15.0,29.0,2.0,20.0,9.0,1.5
0.92,3.0,50.0,47.0,16.0,50.0,20.0,31.0,2.0,19.0,23.0,1.3
0.5,1.0,22.0,22.0,28.0,53.0,19.0,33.0,2.0,19.0,91.5,1.6
